"id","meter","timestamp","electricity_received_tariff1","electricity_received_tariff2","electricity_delivered_tariff1","electricity_delivered_tariff2","electricity_tariff_indicator","device_type"
"48012"," KA6U001660326812","2020-07-06 11:30:01","12674.378","8388.644","3192.424","7504.061","2",""
"48013"," KA6U001660326812","2020-07-06 11:45:05","12674.378","8388.644","3192.424","7504.300","2",""
"48014"," KA6U001660326812","2020-07-06 12:00:08","12674.378","8388.644","3192.424","7504.799","2",""
"48015"," KA6U001660326812","2020-07-06 12:15:01","12674.378","8388.644","3192.424","7505.058","2",""
"48016"," KA6U001660326812","2020-07-06 12:30:04","12674.378","8388.649","3192.424","7505.216","2",""
"48017"," KA6U001660326812","2020-07-06 12:45:08","12674.378","8388.649","3192.424","7505.533","2",""
"48018"," KA6U001660326812","2020-07-06 13:00:00","12674.378","8388.649","3192.424","7505.899","2",""
"48019"," KA6U001660326812","2020-07-06 13:15:04","12674.378","8388.649","3192.424","7506.166","2",""
"48020"," KA6U001660326812","2020-07-06 13:30:07","12674.378","8388.649","3192.424","7506.627","2",""
"48021"," KA6U001660326812","2020-07-06 13:45:00","12674.378","8388.649","3192.424","7507.140","2",""
"48022"," KA6U001660326812","2020-07-06 14:00:04","12674.378","8388.649","3192.424","7507.358","2",""
"48023"," KA6U001660326812","2020-07-06 14:15:07","12674.378","8388.649","3192.424","7507.574","2",""
"48024"," KA6U001660326812","2020-07-06 14:30:00","12674.378","8388.649","3192.424","7507.734","2",""
"48025"," KA6U001660326812","2020-07-06 14:45:04","12674.378","8388.649","3192.424","7508.321","2",""
"48026"," KA6U001660326812","2020-07-06 15:00:07","12674.378","8388.649","3192.424","7508.881","2",""
"48027"," KA6U001660326812","2020-07-06 15:15:00","12674.378","8388.649","3192.424","7509.382","2",""
"48028"," KA6U001660326812","2020-07-06 15:30:04","12674.378","8388.649","3192.424","7509.576","2",""
"48029"," KA6U001660326812","2020-07-06 15:45:07","12674.378","8388.649","3192.424","7509.965","2",""
"48030"," KA6U001660326812","2020-07-06 16:00:00","12674.378","8388.649","3192.424","7510.191","2",""
"48031"," KA6U001660326812","2020-07-06 16:15:04","12674.378","8388.649","3192.424","7510.402","2",""
"48032"," KA6U001660326812","2020-07-06 16:30:08","12674.378","8388.649","3192.424","7510.780","2",""
